German,English
die Lebensstationen,stage of life
das Benachteiligen,disadvantage
die Einberufungsbefehle,conscription orders
der Übergriff,assault
die Gleitbomben,glide bombs
vorzubeugen,prevent
auf Eis gelegt,put on hold
schlussfolgern,conclude
die Zuneigung,affection
die Stichworte,keywords
unzutreffend,inapplicable
die Berichterstattung,reporting
die Insolvenzverschleppung,delaying insolvency
der Aufstand,uprising
derweil,meanwhile
die Vulkangürtel,seismic belt
die Verhaltensauffälligkeiten,behavioral problem
der Probelauf,test run
das Völkerrecht,international law
die Zurückhaltung,restraint
die Rechenschaft,accountability
die Abhilfe,remedy
die Grunderwerbsteuer,real estate transfer tax
die Zerstreuung,distraction
die Kehrtwende,u turn
notgedrungen,out of necessity
die Notenbank,central bank
das Betätigungsverbot,prohibition of activity
zurückbleiben,lag behind
die Sprösslinge,offspring
die Zielgruppe des Ladens,target customer of the shop
der Bildband,illustrated book
funktionstüchtig,functioning
die Auflockerungen,loosening
die Unterbindung,prevention
die Bagatellgrenze,minimum limit
üblich zu sein,to be common
argloser,unsuspecting
fahren Schlitten,ride a sleigh
vertreiben,expel / drive out
unsachlich,irrelevant
die Erdbebenwarte,earthquake observatory
die Vertriebsaktionen,sales campaign
stellvertretende,deputy
erschwinglich,affordable
zurückwies,denied
die Schattenseite,dark side
die Beweisvernichtung,destruction of evidence
scheinbar,apparently
rechtswidrig,unlawful
die Stellungnahme,opinion
verankert,anchored
animieren,encourage
gleichermassen,equally
darauffolgenden,subsequent
heiklen,delicate
hinkriegen,manage
die Abwechslung,variety
diffamierend,defamatory
die Genossenschaft,cooperative
vermittelbar,understandable
die Zweckgemeinschaft,community of purpose
das Erfassungssystem,recording system
der Ehrenhof,courtyard
quengeln,whine
falsche Anreize,false incentive
obgleich,although
nachlassende,declining
die Schwellenländer,emerging markets
der Vergeltungszoll,retaliatory tariff
ubergreifen,spread
der Arbeitsrechtler,labor lawyer
der Sprengsatz,explosive device
die Liegestützen,push up
Es fällt ihr leicht,it's easy for her
die Wutausbrüche,burst of anger
die Gleitschirmfliegerin,paraglider
die Entzerrung,equalization
verarbeitet werden,be processed
klagen,sue/complain
der Etat,budget
veranlassen,prompts
ergreifen,take action
der Beitrittskandidat,candidate country for Schengen visa
allmähliche,gradual
die Tiefstwerte,lowest value
ausarten,get out of control
Es fällt ihr schwer,it's difficult for her
erwähnten,mention
der Tiefbahnhof,underground train station
ausgedient,obsolete
die Heranwachsende,adolescent
