German,English
zerstreute,scattered
Schlupfloch,loophole
bescheidener,more modest
Bewährung frei,parole free
reißerisch,sensational
geschuftet,worked hard
sehnsüchte,longings
feuchtigkeit,moisture
Söldnern,mercenaries
abwenden,avert
preisgabe,disclosure
schuldenerlass,debt relief
untertauchten,hide
Erpressungen,blackmail
Aufklärungsdrohnen,spy drone
angeheuert,hired
Anhänger,follower
einbinden,integrate
Reizen,irritate
Achselzucken,shrug
Bescheidenheit,modesty
angeprangert,denounced
Sperrung,blocking
schieren,sheer
ausgebügelt,ironed out
aufspüren,track
Zustroms,influx
bewachtes,guarded
Ermessen,appreciate
kettensäge,chainsaw
ureinwohner,indigenous
hinzufügen,add
Kugelhagel,hails of bullets
animieren,encourage
voranschreitender,advancing
freiluftmuseum,open air museum
tischlern,carpentry
verträglich,digestible
"landauf, landab",across the country
verurteilen,condemn
Düngemittel,fertilizer
Ballungsräumen,metropolitan
walmdächer,gable roofs
ansatzweise,rudimentary
willkürlich,arbitrarily
feindselig,hostile
Anordnung,Arrangement
faltenlose,wrinkle free
Innehaben,occupy
lebensader,lifeline
raffinierte,sophistication
bewusstsein,consciousness
zugespitzt,pointy
schleierhaft,mysterious
gewaltsamen,violent
Beharrlichkeit,persistence
Gemengelage,mixed situation
beschwerlich,burdensome
wegkriegen,get rid of
weitverzweigten,widespread
konditorwesen,pastry
landstriche,region
schürze,apron
säuglinge,infants
makellos,spotless
verwöhnen,spoil/pamper
unbehaglich,uncomfortable
kollabieren,collapse
entführen,kidnap
vorrücken,advance
sparkurs,austerity
gleichwertige,equivalent
Sprengstoff,explosive material
schullaufbahn,school career
belegschaft,workforce
hochbetagt,very old
Wasser auf die Mühlen strengen,fuel something (give support/argument)
trümmer,debris
Selbstbestimmung,self determination
entbehrungsreichen,deprived
Umrüstung,retrofit
eklatantes,blatant
schuldentilgung,debt repayment
Auf dem Schoß sitzen,sit on the lap
Schwachstellen,vulnerability
schlusslicht,tail light
ausgelagert,outsourced
stockdunkel,pitch black
sicherheitsvorkehrungen,safety precautions
verführerisch,seductive
gläubigern,creditor
verschleiern,disguise
verweilten,lingered
Waisen,Orphan
Zumutung,unreasonable
Zupackende,hands on
entziffern,decode
ungeschickt,clumsy
knarzige,creaky
seidenstrasse,silk road
profilieren,define
anstehenden,upcoming
Schlachtung der Schafe,slaughter of sheep
