German,English
anfechtbar,contestable
erschweren,complicate
hauptverkehrsader,main traffic artery
vorsprung gewonnen,gain a lead
stark bewirkt,strongly affected
Machthaber,dictator
geläufigen,common
besorgniserregend,worrying
verschmelzung,merger
befassen,deal with
entartet,degenerate
zwischenfall,incident
mehrspurig,multi-lane
wetterwirksam,sensitivity to weather
handlungsfähigkeit,ability to act
Auslegung,interpretation
Sich in luft ausgelöst,disappeared into thin air
Gerüchte,rumors
darauf gedrängt,urged
Auffanglager,reception camp for refugees
Umhören,ask around
empfänglich,susceptible
verbreitet,spread
hintersicht,consideration
Zelle,cell
wertvoll,valuable
Geschwulst,tumor
ausgrabungen,excavation
Chirurg,surgeon
vertraulich,confidential
Felsbilder,rock painting
mitgerissen,swept away
Narbe,scar
Friedensschluss,peace agreement
blechdach,sheet metal roof
mehrstufigen,more stage
Haushaltsführung,budget management
belüftung,ventilation
genmais,genetically modified corn
wuseligen,bustling
Rande der Stadt,skirt of the city
Versorgungsengpässe,supply bottleneck
Maiseintopf,corn stew
Ruderverein,rowing club
freiberuflich,freelance
rohstoffe,raw material
Schadenersatzforderungen,claim for damage
unbeständig,unstable
schirmherrschaft,patronage
Gewebeneubildung,tissue regeneration
Spitzenvertreter,top representative
handelsabkommen,trade agreement
arbeitsplätze streichen,cut jobs
einwandfrei,flawless
Welterbeliste,world heritage list
Sondersitzung,special session
saatgut,seeds
Überschwemmung,flood
berechtigt,entitled
Rankhilfe,trellis
gelingen,success
Waffenniederlegung,laying down of arms
pflegebedürftig,in need of care
Beauftragte,officer
pferdemist,horse poop
getreide,grain
unschuldig,innocent
Eigenverbrauch,self-consumption
Herz-Kreislauf-Erkrankungen,cardiovascular diseases
Menschenwürde,human dignity
Strafbemessung,sentencing
überzogen,overdrawn
Ost-West-Gefälle,east-west divide
einzigartig,unique
Sachbuch,non-fiction book
mehr verdunstung mehr niederschlag,more evaporation more precipitation
verherrlichte,glorified
unterworfen,subjected to
gleichwohl,nevertheless
Armutszeugnis,badge of shame
verwaltungsgebiet,administrative area
abwertende,insulting
Einnahmeausfälle,loss of income
Die Zahlen geben das nicht her,the numbers don't support that
salonfähig,socially acceptable
zugig,drafty
essendunst,food steam
tot geborgen,recovered dead
wirksam,effectively
Aktiengesellschaft,stock company
vertrieben,expelled
von fall zu fall,from case to case
ohne Vorbehalte,without reservation
Putschen,coup
zeitfenster,time window
