German,English
Moscheeverband,Mosque association
parteiübergreifend,cross-party
entgleist,derailed
einräumen,admit
schlicht,simply
gemeinnützigen,non-profit
hinterhof,backyard
Spannungen,tension
angleichend,adjusting
vorhandene,existing
durchsetzt,enforce
die Sau rauslassen,let loose
verfasst,written
Die Luft bei mir raus,run out of energy
herumgerede,gossip
verwischt,blurry
an denen,at which
Samtig,soft
feindselige,hostile
schnauze voll,fed up
gehoben,sophisticated
zufällig,random
Unter Auflagen,Subject to conditions
Zaren,Tzars
scheindigitalisierung,pseudo-digitization
Gemengelage,mixed situation
Gravierende,serious
Verfassungsrang,Constitutional rank
gendergerechte,gender-appropriate
erwerbstätig,employed
Wettbewerbsfähigkeit,Competitiveness
dschungel,jungle
Unterschwellig,subtle/under the surface
umverteilung,redistribution
vertraglich,contractual
Geschick,skill
Erkenntnisgewinn,Knowledge gain
Rechtliche Erwägung,Legal consideration
Einbeziehung,Inclusion
erblich,hereditary
entflechten,demerge
hang geblieben,stuck
Ertragen,Endure/yield
teilhabe,participation
Schachfeld,chessboard
Druckmittel,Printing medium
Bauchgefühl,gut feeling
Schlammschlacht,mud battle
haltelinien,stop line
zerbröseln,crumble
Gebietsabtretungen,territory cessions
Unbeirrbar,Unwavering
Digitale Dienstleistung,Digital service
widerzuspiegeln,to reflect
erbschaftsteuer,inheritance tax
vollkommen,absolutely
heikle,delicate
kleingerechnet,underestimated
Bodenschätze,mineral resource
verschonungsregel,exemption rule
taufelkreis,vicious circle
ermitteln,determine
Baulastträger,building authority
Meerenge,strait
Bevormundung,paternalism
Flugblätter,leaflet
nachvollziehen,comprehend
Umschulung,retraining
Fachbegriff,technical term
krawatten,ties
Sündenfall,fall from grace
erhellenden,illuminating
Körperschaftsteuer,Corporate tax
Katerstimmung,hangover
wertpapiere,security
Allein von der Wahrnehmung,Just from perception
Maschinenbau,Mechanical engineering
beherzten,courageous
Missgeschick,mishap
ernüchternden,sobering
OZG-Onlinezugangsgesetz,Online Access Act
bevorzugt,preferred
zermürbt,worn down
Unterhaltsvorschuss,Maintenance advance
Abgang,departure
Unzutreffend,Inapplicable
Dunkelflaute,The period when a wind turbine or solar panel doesn't produce electricity
ausführlich,detailed
Hilfssheriff,deputy sheriff
vordrängeln,queue jumping
nerdigen,nerdy
Reisestrapazen,travel hardships
Eingebung,Inspiration
Abmachungen,Agreement
Zugeständnisse,concessions
Stützpunkt,base
Vorgreifen,Anticipate
fragwürdig,questionable
drängende,urgent
beachtliche,considerable
Übereinstimmung,Accordance
Ausgelastet,occupied
reichtum,wealth
Frontverlauf,frontline
millionenschwere,multi-million dollars
