German,English
Anlaufstellen,contact point
scheidende Regierung,departing government
gewährleistet,ensure
interagieren,interact
Abweichen,deviates
Übelkeit,nausea
Sachverstand,expertise
aufrechterhalten,maintain
Übereinkunft,"arrangement, agreement"
gesperrt,blocked (bank account)
Dauerbrenner,perennial favorite
flüstern,whisper
historisch belastet,historically burdened
Blickwinkel,perspective
ins Stocken geraten,stalled
bescheiden,modest
Gegebenheiten,circumstances
Tauglichkeit,suitability
aufweichen,soften
linksgerichtet,left leaning
Kapieren,understand
knifflige,tricky
Endlager,final disposal
Anschaffungskosten,Acquisition costs
rechtfertigen,justify
Samt,velvet
Strafanzeige,criminal complaint
Gebrechlichkeit,frailty
Gesprächsrunde,discussion round
Mappe mit Arbeitsproben,portfolio with work sample
Aushilfstätigkeit,temporary job
prickelnd,sparkling
behoben werden,be fixed
harte Bedingungen knüpfen,give hard conditions
Unterschlupf,shelter
Wahrzeichen,landmark
mosi,mosi
folgendermaßen,as follows
schwerwiegende,serious
Zulieferbetriebe,suppliers
Einbettung,embedding
erbrechen,vomit
Wühltisch,bargain bin
Fledermaus,bat
ansehnliches (Geld),handsome (money)
Geld in Stadtkasse spuren,pay into city budget
hochtrabend,pompous
zu Umdenken bewegen,to change thinking (of other people)
überdrüssig werden,get tired of it
Sehnsucht,longing
gnadelos,merciless
Albernheit,silliness
Beweggründe,motives
Einmalige,unique
Ehrgeiz,ambition
"Wer rastet, der rostet!","Who rests, rusts."
die Realität gestalten,shape the reality
Überholspak,jalan untuk nyalip
Motorhaube,vehicle bonnet
Herzstück,centerpiece
zulässig,permissible
halte es für vertretbar,consider it reasonable
Brotzeit,snack
Unwissenheit,ignorance
kassieren,collect
vom erdboden verschluckt,swallowed by the earth
Scheinwerfer,headlights
Knochenjob,backbreaking job
flächendeckenden,comprehensive
Hinzukommen,in addition
Niederlassungserlaubnis,residence permit
zusammenrücken,move closer together
Unterführung,underpass
gepflastert,paved
warum wohl,I wonder why
Rechtsschutz,legal protection
abkehr,departure
beiläufig,casual
gestöbert,browsed
wer gemustert wird,who is being drafted
die Schnittstellen,the interfaces
Hebamme,midwife
zartem,tender
beliebigen,any/arbitrary
Verliebtheit,infatuation
Stoßstange,bumper
Arbeitsausbeutung,labor exploitation
schlichtweg,simply
beteuern,assert
gratwanderung,walking a tight rope
einordnen,categorize
großzügig,generous
eine Karriere einschlagen,to embark on a career
Durchlässigkeit,permeability
Nachholbedarf,need for catching up
zaghaf,tentative
Sattelschlepper,semi trailer truck
Probieren geht über Studieren,trying is the best way to find out
zumutbar,reasonable
Einweihung,inauguration
ausgesetzt,suspended
leuchtenden,bright
keineswegs,not at all
durchlitten,suffered
Keineswegs,not at all
Hindernisse,Obstacles
Bundesmittel,federal fund
Losentscheid,lottery draw
Studienbeiträge erhoben wurden,tuition fees were charged
