German,English
Hauptaugenmerk,Main focus
Lebensmittel,Groceries
Umleitung,Detour
vernünftig,Sensible
Töpfe mit Blumen,Flowerpots
Handelsbeziehung,Trade relation
Nur zum Teil,Only partly
Heutzutage,Nowadays
Vorschriften,Rules
vergeblich,Unsuccessfully
Umsicht,Caution
Bewundere,Admire
Vergnügt,Cheerful
die Urkunde,Certificate
Verbieten,Forbid
Inhaltverzeichnis,Table of Contents
tauchen,Submerge
Tasse,Cup
Gegensteuern,Counteract
Das Tor,The gate
Ufer,Riverside
weigern,Decline/Refuse
Wiese,Lawn
hervorragend,"Outstanding
ein hervorragender Redner = An excellent speaker"
weitreichende,Extensive
Stell dir vor,Imagine
Vortrag,Lecture
annektierte,annexed
falsch verbunden,Wrong number
Zustimmung,Approval
Druck aufbauen,Build up pressure
versprochen,Promised
Engen,Narrow
selbsternannten,self-proclaimed
Verlag,Publisher
Einkommen,Income
Verantwortung,Responsibility
stumm,Mute
Waffenstillstand,Ceasefire
Summe,Total
Wassermangel,Water shortage
Vertrag,Contract
Absturz,Crash
Tastatur,Keyboard
verzichten auf,Give up something voluntarily
Bisher,So far
Insolvenzen,Bankruptcy
umgekommen,Killed
Schrumpfen,Contract (shrink)
Szene,Scene
Verpflegt,Catered
Sonnenstrom,Solar electricity
Tatsachen,Facts
Fernbedienung,Remote control
Rasche,Quick
Erheblich,Significantly
Genehmigung,Authorization
Untersuchung,Examination
Vorzeichen,Sign
Umsonst,Free of cost
Untersagt,Prohibited
treten,Kick
Bewerbung,Application
Übertreiben,Exaggerate
Essenausgabe,Food distribution
verwandt,Related
Bestätigung,Confirmation
umgekehrt,Reverse
Anwalt,Lawyer
Nahost,Near East
Ursprünglich,Initially
Wirtschaftswachstum,Economic growth
Taschentuch,Tissue
Verfügbar,Available
versäumen,Missed (an event)
Wehrpflichtigen,conscript
Teilnehmen,Participate
Ausrichten,Arrange
Kasernen,barrack
Forschung,Research
Indes,However
Verraten,Reveal a secret or betray
Konjunkturprogramme,Economic stimulus programs
Tränen,Tears
traditionelle Küche,Traditional cuisine
unterlassen,Refrain from doing something
Hindeute,Hint/Indicate
Held,Hero
zwangsmobilisiert,mobilized by force
Gewinnspiel,Competition
Wirtin,Landlady
guten Taten,Good actions
Gehen Sie schon voraus,Go ahead
geschehe,happen
eingestuften,Classified
Beleg,Receipt
Zufriedenheit,Satisfaction
Herausforderung,Challenge
Vorwürfe,Accusations
Mobilfunk,mobile communication
verschont,"spared
der Sturm hat kaum ein Haus verschont"
Beruften,appoints
Verabredet sein,To have appointment
Vorwahl,Phone prefix
Symbole,Icon
Bestechung,bribery
Abschwung,Downturn
Fähigkeit,Ability
Menschenrechtslage,Human rights situation
Wenden,Turn around
Kunde,Customer
Durchbruch,Breakthrough
Zurückgeht,Decrease
Angestrebt,"Aimed at
""Sie hat eine Führungsposition angestrebt.""
She aimed for a leadership position."
Völlig ausgeschlossen,Completely out of the question
Treu,Faithful
widerspricht,Contradicts
Erlaubnis,Permission
Versammlung,Meeting
Mittelweg,Middle way
Friedensvertrag,Peace Treaty
Rechnung,Invoice
Beleben,Revitalize
Verbraucher,Consumer
Tätigkeit,Activity
Gedampft,"1. Steamed (food), 2. Muted (voice)"
Machtvakuum,Power vacuum
das Werk,Factory
Vertretung,Representation
voraussichtlich,Expected (probable)
umziehen,Change clothes
Solar-Anlagen,Solar systems
