German,English
berücksichtigt,taken into account
nachweisbar,verifiable
gesetzlich,legally
Worthülsen,empty words
rücksichtslose,reckless
berichtigen,correct
schulterblick,shoulder glance
Ungehorsam,disobedience
grenzgebiete,border areas
Lebenseinstellung,attitude to life
Vergabe,award
Hemmung,inhibition
Bodenstandlich,Down to earth
andersdenkende,dissidents
Segen und Fluch,blessing and curse
ablenken,distract
großflächig,large-scale
Schweigen,silence
daher,therefore
Untersuchungshaft,pre-trial detention
Enthaltungen,abstentions
Wählerbestechung,voter bribery
Aufwind,Upwind
ermutige,encourage
Belastbarkeit,resilience
Wohlstand,prosperity
durchsickern,leakage
überwältigt,overwhelmed
Menschenrechtsfragen,human rights issues
hintergehen,betray
Bürgschaft,guarantee
widerrufen,cancel
Zeit ablaufen,time run out
verlegen,rescheduled
verwundbar,vulnerable
Abneigung,dislike
Böswillige,malicious
Entschädigung,compensation
Benennung,naming
Schlusslichter,Taillights
Leitzinsen,Key interest rate
stattdessen,instead
Haftbefehl,arrest warrant
angestrebte,desired
Spüle,sink
verfallen,"expire, deteriorate (expiration date)"
Prozessauftakt,start of trial
nichts ging mehr,nothing worked anymore
Wegschauen,look away
verheerenden,devastating
Einzelheiten,details
wegschmeißen,throw away
unfassbar,unbelievably
lahmgelegt,paralyzed
entscheidenden Zeitpunkt,crucial moment
Fehlbildungen,malformations
Schöpfer,creator
leidenschaftlich,passionately
währenddessen,meanwhile
voranzubringen,to advance
verschimmeln,mold
willkürliche,arbitrary
Zahlenwerk,Figure
nachwuchs,offspring
redewendung,idiom
mutmaßlichen,alleged
Einsatz,mission
Halbleitertechnik,semiconductor technology
Begegnung,encounter
Inhaftierungen,imprisonment
rücken ins Visier,come in focus
ernstfall,emergency
augenhöhe,eye level
ausreden,excuses
Vernichtung,destruction
Einstiegsfrage,introductory question
Erkenntnisse,findings
sondervermögen,special funds
Currency guardian,Währungshütern
erträglich,bearable
widersprüchlich,contradictory
Umzugskarton,moving box
unverzüglich,immediately
Geprüft,examined
verhungern,starve
hinterfragen,challenge/question
knochen,bone
Schufa-Bescheinigung,Schufa certificate
befriedigend,satisfactory
amtierende,incumbent
Eingeklemmt,trapped
verdrehen,twist
Prügeltrupps,gang
stromausfall,power outage
dreckig,dirty
widerstehen,"stand (stand high temperature, high humidity, etc)"
zwielichtige,shady
stiftung,foundation
mittel zum zweck,means to an end
bleibende,permanent
befürchten,feared
