German,English
Knotenpunkt,a point where things meet
Ablenkungskampf,a fight or struggle that serves as a diversion/distraction
aufschlag,serve (as in tennis)
Landeskundliche,regional studies
erdrutsche,landslide
hineinfuchsen,work on something
Ausschreibung,Tender (for project)
Erdnussbutter,peanut butter
kreisverband,district association
fundiert,well-founded
lohnenswert,worthwhile
Einkaufsbummel,shopping trip
beweglichkeit,agility
verfallsdatum,expiration date
abwertung,devaluation
Verunsicherung,uncertainty
Einzelfallgerechtigkeit,case by case justice
verzehren,consume
abgesehen davon,apart from that
altehrwürdigen,venerable
betrachten,consider
anspruchsvoll,demanding/ambitious
erbeuteten,captured
überfallen,attacked
wahlbevolkerung,electorate
gutschein,coupon
bedeutsam,significant
verzweiflung,despair
wirbelsäule,spine
dekadent,"self-indulgent, morally or culturally declining"
umtreiben,bother
aberkennung,revocation
geraume Zeit,a certain amount of time
versöhnen sich,reconcile
uberschneidung,overlap
zuzug,immigration
urwald,jungle
Augenbrauen,eyebrows
Ausfallrisiken,default risk
vernachlässigt,neglected
ehrgeizig,ambitious
finanzspritze,financial injection
Verteilungskampf,fight regarding distribution
kniebeugen,squat
wunschenwert,desirable
naherholungsgebiet,local recreation area
ungern,reluctantly
gewissenhaftsten,most conscientious
pfarrer,pastor
widerlegbare,refutable/disprovable
mangelhaft,inadequate
ausstrahlung,charisma
geprugelt,beaten
durchlässigkeit,permeability
beschworene,solemnly vow
nichstun,do nothing
grundansatz,basic approach
erhaltung,conversation
geisteswissenschaftliches,humanities
ausgewogen,balanced
beauftragen,give an order
unterstellen,assume
Verbraucherreklamation,consumer complaint
anführungsstriche,quote unquote
Seilspringen,Rope skipping
flanieren,stroll
fundiert,well founded
Befürworter,supporter
Auffällig,eye catching
beschworene,solemnly vow
Mangelerscheinungen,deficiency symptoms
kopfzerbrechen,headache
dementsprechend,accordingly
Trauschein,marriage certificate
wünschenswert,desirable
ernüchternd,sobering
überschneidung,overlap
wahlbevölkerung,electorate
schulterzucken,shrug
entzogen,withdraw
erhaltung,conservation
Erachtens,in my opinion
ertragreiche,profitable
gegenseitigkeit,reciprocity
fulminanter,brilliant
vom erdboden verschluckt,swallowed by the earth
durchlitten,suffered
gewährleisten,ensure
scheidende Regierung,departing government
beweggründe,motives
gesperrt,blocked (bank account),
rechfertigen,justify
linksgerichtete,left leaning
Bundesmittel,Federal fund
beharren,insist
Übereinkunft,arrangement, agreement
gewütet,raged
Hindernisse,Obstacles
ausgesetzt,suspended
zumutbar,reasonable
halte es für vertretbar,consider it reasonable
Zulieferbetriebe,suppliers
zaghaft,tentative
schlichtweg,
Hinzukommen,in addition
flächendeckenden,comprehensive
Überholspur,jalan untuk nyalip
Anschaffungskosten,Acquisition costs
gratwanderung,walking a tight rope
abkehr,departure
aufweichung,soften
Niederlassungserlaubnis,residence permit
Arbeitsausbeutung,labor exploitation
Einweihung,inauguration
