German,English
Turnschuh,sneaker
kohlenstoffmarkt,carbon market
buchvorlage,book template
beugen,bend
geburtenstarke Jahrgänge,baby boomers
bemessungsmethode,design method
überlaufen,overcrowded
gezielt,targeted/specific
Schrammen,scratches
Kreuzfahrt,cruise
kapitulieren,give up
sturmfrei,having the house to oneself
zynisch,cynical
leistungsdruck,pressure to perform
wachsfigurenkabinett,wax museum
entsprechende,corresponding
Fuß fassen,gain a foothold
Vorfeld,apron
Irrglaube,misconception
Siegermächte,WW2 victors
vorderen,front
Vorreiterfunktion,pioneering role
begleiten,accompany
Hals über Kopf,impulsive action
zuschuss,grant
tropenwalden,tropical forrest
Krankheitserreger,pathogen
Umlageverfahren,pay as you go system
erblich,hereditary
erfreuen sich,enjoy
tapete,wallpaper
auf großem Fuß leben,live extravagantly
gemeindevorsteherin,community leader
zwei linke Hände haben,to be bad at manual tasks
Attentat,assassination
Begegnung,encounter
malerisch,picturesque
stellenweise,here and there
undurchsichtiger,more opaque
Brautkleid,wedding dress
neidisch,envious
Bettdecke,duvet
infizieren,infect
Sanfte Übungen,gentle exercises
Fahne,flag
Spaltung (politisch),division (political)
Firmenflotten,company fleets
ansteckend,contagious
Werdegang,career progression
ausgegrenzt,excluded
Im Endeffekt,in the end
verwerflich,reprehensible
berechnungsgrundlage,calculation basis
Alleinstehende,single people
reisserisch,sensational
azubis,trainees
rutschen,slide
übersichtlichen,clear
kleine Makel,small flaws
probeweise,on a trial basis
waagerecht,horizontal
gestreckt,stretched
lebendig,lively
auf eigene Faust,on one's own
eintopf,pot
Gewahrsam,custody
getauft,baptized
Tröpfcheninfektion,droplet infection
kratzen,scratch
gefühlsmäßig,emotionally
hüpfen,hop
um den Hals fallen,to hug someone tightly
zwischenüberschrift,subheading
wandlungsfähig,adaptable
erwartungsgemäß,as expected
Verbrennerverbot,combustion engine ban
Kopfschütteln,shake heads
bereicherung,enrichment
beliebtheit,popularity
praxisnahe,practical
Sterntaste,star key
ranklotzen,work hard
Das Zepter,scepter
Blessuren,injuries
verpennt,overslept
Rautetaste,hash key
bemängeln,to criticize (something)
Dunkelziffer,dark figure
Domplatz,cathedral square
eindeutige,unambiguous
Ausschnitt,cut-out/section
Rückwärtshüpfen,backward hopping
folgendermassen,as follows
ausgerottet,exterminated
Gesichtspunkten,aspects
gemäßigte,moderate
