German,English
nachempfinden,empathize
Rahmen,framework or context
nachvollziehbar,understandable
komparsen,extras (film/theater)
raupen,caterpillars
schönheit daraus zu schöpfen,draw beauty from it
Bezugsperson,reference person or trusted person
Alles läuft/ist Bombe,everything is great
verdrängt,repressed
Erstattung,refund or reimbursement
unannehmlichkeit,inconvenience
abgedreht,quirky
am Rande mitbekommen,heard in passing
tretroller,scooter
umfang,scope
Kettenzüge,chain hoist
Morgenmuffel,someone who is grumpy in the morning
augenfällig,obvious
entlohnen,to reward or remunerate
angriffspunkte,attack points
kostenpflichtig,subject to charge
befangen,biased
anreizwirkung,incentive effect
zielgerichtete Zahlung,targeted payment
stichproben,sample
greifbar,tangible
Ein Ass im Ärmel haben,to have a hidden advantage
Berufung,vocation
umtreiben,bother
Bohnen,beans
Kohlenstoff,carbon
zuschuss,grant
abtreten,resignation
Erwerbsminderung,incapacity for work / reduction in earning capacity
unberechenbar,unpredictable
Bwl betriebwirtschaftlehrer,business adm
Vorhänge,curtains
jammern,complain
einweihen,inaugurate
Zwilling(e),twin(s)
ernsthafte,serious
gelind,mild
Tierhaltung,animal husbandry
berücksichtigt,taken into account
erobert,conquered
plaudern,chat
vollblutmusiker,full blooded musician
einseitig,one sided
ombudsstelle,ombudsman
aufgeschlossen,open minded
steuerschlupfloch,tax loophole
ortungssysteme,tracking system
mittelmäßig,mediocre
beherrschen,master
Schieflage,imbalance or precarious situation
wermutstropfen,drop of bitterness
Referat,presentation
typengenehmigung,type approval (for selling product)
beleuchtet,illuminated
brathähnchen,roast chicken
Vielseitigkeit,versatility
zu unrecht,wrongly
kommune,municipality
begnadigt,pardon
abgezogen,deduction
aufwandsentschädigung,compensation for expenses or effort
Lebensumstand,living circumstance
parteivorstand,party executive
Galopp,to learn in a rush / very quickly
gezüchtet,bred
wahrnehmen,perceive
schweben,hover
SGB (Sozialgesetzbuch),Social Code (German social law code)
gewaltig,enormous
angebaut,cultivated
befähigen,enable
vermehrbar,reproducible
eidesstattliche versicherung,oath
hebel,lever
aufwand,expense
schlüssig,coherent
duldung,toleration
Lieblingsfloskel,favourite cliché
die Stimmung ist im Keller,very bad mood
überschüssige,excess
abschreibung,depreciation
Grenzabgaben,border tax
rumbasteln,tinker around
Kompliment,compliment
Gemeindegebet,congregational prayer
Sitzfleisch,stamina (especially for sitting through long tasks)
mitdenken,to think along with
bevorstehende,upcoming
flapsig,flippant or careless
agieren,to operate or act
erfassung,capture
wegweisendes,groundbreaking
eingebracht,introduced
überwiegenden,vast/prominent
schlacht,battle
abwehr,defense
netzentgelt,network fee
weltfremd,unrealistically
Klatsche,clap
