German,English
Binnenschiffen,inland waterway vessels
Gefragter,more sought after
Fließgeld,cash flow
Suchmaschine,search engine
Sanierungsfall,restructuring case
Föderalismus,federalism
beeinträchtigt,impaired
gefangenen,prisoners
Hinzugekommen,join
zielstrebig,purposeful
Polizeischüssen,police shooting
Vorangekommen,progress
Stadttel,district
Wasserstoffnetze,hydrogen networks
Problemfelder,problem areas
Umstellung,conversion
brauchbare,useful
überschriften,headings
Lücken,blanks
Umliegenden,surrounding
verbrauchte Luft,used air
Ratseln,puzzle
Verschlechterungen,deterioration
Mindestmaß,minimum size
Bräsigkeit,arrogance
Gutachten,appraisal
gebrauchsgegenstand,everyday object
einordnen,classify
Ladesäulen,charging stations
Loben,praise
Beten,pray
Gebrauchstauglichkeit,usability
maßgeblich,significantly
Im Kern,at its core
Energiewende,energy transition
Beschwerden,complaints
Beerdigung,burial
Antike,antique
Äußerung,statement
Spürbar,noticable
berichteten,reported
Wachsamkeit,alertness
jenseits,beyond
Anschaffungspreis,purchase price
gonen,treat
bezahlbares,affordable
schriftsteller,writer
umfassende,comprehensive
vermittlung voraussetzung,mediation requirement
pauschalreise,package holiday
hierzulande,in this country
Wasserstraßen,waterways
umfasst,includes
Gemeinden,municipalities
hobbyratgebern,hobby guides
Kutsche,carriage
Verfügung,disposal
abdanken,abdicate
Glasfaserleitungen,fiber optic cables
unvollständig,incomplete
Schwerlast,heavy load
vorgeschlagene,proposed
leisten,afford
unmittelbar,directly
die Schiene,the rail
Vermögensverteilung,distribution of wealth
fortbewegungsmittel,means of transport
Haushaltsmittel,budget funds
vernachlässigt,neglected
Erdkreis,globe
wesentliche,essential
Rechtsstaat,constitutional state
Unternehmerische,entrepreneurial
verbunden,tied together
Dachfirma,umbrella company
tagsüber,during the day
wirtschaftszweig,industry
vorübergehende,temporary
Begrabnis,funeral
marode,washed out
erstaunliche,amazing
Gesundheitswesen,healthcare
Eisenbahn,locomotive
Schritte,steps
nachweis,proof
Altersvorsorge,retirement provisions
funktionierendes,functioning
vielfacher Hinsicht,in many respects
Verfall,decay
erkunde,explore
heiliges,saint
verlangen,demand
pausenlos,non-stop
vorgesetzen,superior
Prominenz,celebrities
Mariendarstellung,representation of Mary
gleichstellung,equality
Investitionsrückstand,investment backlog
Leistungen,service
Sanierungsstau,renovation backlog
Rechnungsprüfer,auditor
Menschenmenge,crowd
Rahmen,frame
Seelsorger,pastor
mühsam,laborious
abgerissen,demolished
