German,English
schweifen,wander
entziffern,dechiper
zünglein an der waage,tipping of the scale
unbeteiligt,uninvolved
Zudem,in addition
Sprengsatzen,
Kopfgeld
Shattenfloye
drahtzieher,mastermind
Übereinkunft,Agreement
netzentgelte,Networkcharge
verseucht,contaminated (nuclear)
verstrahlter,irradiated
kühlteich,cooling pond
Strahlung,radiation
Vermint,mined
schutzhüllen,protective cover
Verlaumdungsklage,defamation
Um seine Zukunft bangen,fear for his future
beliebigkeit,arbitrariness
fälschungen,forgeries
einzuschleusen,infiltrate
zeitgenössischen,contemporary
bezüglich,with reference to
Gliederung,outline
Schiedrichter,referee
Vorschau,preview
umwertend,stunning
Mienen,face
langatmig,lengthy
ermudend,tiring
ahnein,resembe
angehenden,aspiring
reizvoll,attractive
abgelegene,remote
anschauliche,vivid
Ladentheke,shop counter
kostspielig,costly
einst,once
sesshaft,settled
niederließ,settled
erlegen,kill
straubt,resist
aufwendige,elaborate
Eignungtests,aptitude tests
renommmierte,renowned
schlusspoint,puch line
Schnabel,beak
Beute,prey
verzehren,consume
Gefieder,feather
schmeichelte,flatter
köstliche,delicious
listige,cunning
törichten,foolish
Begabungen,talents
Wirtschaftsberater,business consultant
hineinschuppern,take a look
Arbeitsengtgelt,wages
Abzuge,deduction
Rumblüllen,yelling
hart in Nehmen,tough
Baukasten,modular system
herausragende,outstanding
Zeitgeist,spirit of the time
erlaütern,explain
Urheberrecht,inequality
in die Quere kommen,get in the way
Beifall spenden,applaud
ausloten,explore
streben,strive
Kunstfälscher,art forger
Verhangnis,disaster
Können,talents
einzuschleussen,infiltrate
mittellos,peniless
etwas verschütten,spill
Schrott,scrap
bescheren,bestow
verspiesen,consumed
vergänglich,transient
Hauptausrichtung,orientation
Mitschrift,notes
auswerten,evaluate
Einbußen, shrink
entlehntes,borrowed
Gleichstellung,equal opportunities
Belange,concern
Dementsprechend,accordingly
einleuchten,clear
Scheinsicherheit,false security 
Ersparnisse,saving
schiffbruch,erlittenen shipwreck
zumal,especially since
gescheiterten,failed
zustehen,to be entitled 
vorherrschenden,predominantly 
auswendig,learn by heart
geltende rechliegenden,applicable legal provisions 
empört,outraged
