German,English
Schlagzeilen,headlines
Einhaltung,compliance
einschneidende,drastic
papagei,parrot
niedergelassene,established
ertragen,endure
Zu uns gestossen,joined us
Raststätte,highway rest area
urig,rustic
eingeleitet,initiated
ernüchterung,disillusion
ertrinken,drown
Der Brunnen,the fountain
Ente,duck
verwerflich,reprehensible
Hau ab!,Get out!
abwegig,absurd
Urlaubsreif,ready for vacation
Untier,monster
Öffis,public transport
angeblich,supposedly
Scheibenwischer,windshield wiper
Rückstände,residue
Zuschüsse,grants
ausbeuten,exploit
Bruch,fracture
knackpunkt,core of the matter
Aufmunterung,encouragement
adler,eagle
einschüchterungen,intimidation
paradebeispiel,prime example
bewährte,proven
ausbrennen,burn out
umsatteln,change jobs
zierfische,ornamental fish
unbegreiflich,incomprehensible
versuchsgelände,test site
Verlegung,postponement
hinnehmbar,acceptable
Bohrplattform,drilling platform
geländewagen,off road vehicle
wegschneiden,cut away
gräueltaten,atrocities
gefährden,endanger
überbordende,exuberant
Stauseen,reservoirs
wohlgesonnen,well disposed
berufssteckbriefe,career profile
anfällig,susceptible
klarkommen mit,cope with
Flitterwoche,honeymoon
ehrgeizig,ambitious
bestimmung,determination
Pulverfass,ticking time bomb
anhängig,pending
Angeklungen,resonated
Beitritt,accession
mehrfach,multiple
Militärputsch,military coup
verarmt,impoverished
aussagen,"testify, give evidence"
der sonne knallt,the sun is blazing
Rückgabe,return
ausführlicher,more detailed
pleite gegangen,went bankrupt
kiffen,smoke weed
Überwachung,surveillance
ladenbesitzerin,shopkeeper
Rückgewinnung,recovery
Aus meinem Alltag herausgerissen,torn out of my daily routine
entzogen,withdrawn
unversöhnlichen,irreconcilable
Katzensprung,stone's throw
wortführer,spokesman
eidechse,lizard
geheimnis lüften,reveal the secret
vorrätig,in stock
schillernde,dazzling
verteufelt,demonized
lindgrün,lime green
entrüstet,outraged
nutzlast,payload
sondergesandte,special envoy
verdächtige,suspicious
zerwuchselt,disordered
politische druckmittel,political leverage
Estland,Estonia
Rückgrat,backbone
Schadstoffbelästigung,pollution
Parkverstoß,parking violation
Razzien,raids
gespaltene,split
Hochspannung,high voltage
ringsum,all around
vorrang,priority
Dürre,drought
würdevoll,dignified
Schlummertaste,snooze button
aufzeichnen,record
nebenkriegsschauplatz,secondary war theater
Gräben,gap
durch die Gegend reisen,travel around
