German,English
vorgang,occurrence/action/process
Verbündete,allies
fleischlastige,meat-heavy
Kumpelwirtschaft,cronyism
vorstoß,advance
mitverdienten,profit
wächst in rasant,grow rapidly
berechnungsgrundlage,calculation basis
Subventionen,Subsidies
auf den Kopf zu stellen,to turn upside down
aufzupolieren,to polish
Aufhebung,termination
Profitgier,greed for profit
Keuchhusten,whooping cough
umdenken,rethink
mischkonzerne,conglomerate
umlenkung effekt,trade diversion effect
Eigenmächtige,unauthorized
eintopfen,pot
Auffassungen,opinion
Drohkulisse,Threatening backdrop
verabreicht,administered
fernost,Far East
in den Griff kriegen,get under control
gesunden Menschenverstand,common sense
umbaut,rebuild
Kürzungen,Cuts
kruden Theorien,crude theories
gewaltig,tremendous
Einschnitte,incisions
Belohnung,Reward
knusprig,crispy
unverkennbar,unmistakable
verständigen,communicate
zusammenstossen,collide
verlagern,relocate
gelungen,succeeded
Ernennung,appointment
aktionär,shareholder
absehbar,forseeable
anschuldigungen,accusation
Vernehmungen,interrogations
in den Griff bekommen,get under control
horrende,horrendous
parteiwerten bekennen,commit to party values
hinterzogenen,evaded
der daraus sprießt,That sprouts from it
Verschwörungstheorien,Conspiracy theories
kluft,gap
Verhaltenskodex,Code of Conduct
Beeinträchtigungen,Impairments
inwieweit,to what extent
Zwischenrufe,Interjections
eisenschale,iron bowl
umfangreiche,extensive
demontage,dismantling
Borreliose,Lyme disease
absichtlich,intentionally
Rückforderungen,reclaims
emissionsminderung,emission reduction
verdampft,evaporate
in lebens gerufen,brought into life
Kinderlähmung,polio
abstammungsrecht,inheritance law
Wunschvorstellungen,Wishful thinking
auswärtige,foreign
Bestandsaufnahme,stock
Pferdeentwurmungsmittel,horse dewormer
darlehen,loan
sonderverwaltungsaktien,special administration share
Geheimhaltung,secrecy
entgegen fachlichem,counter professional
Inhaltsstoffe,Ingredients
Wissenschaftsleugnung,science denial
kippen,tilt
Masern,measles
macht es gut,take care
widerlegte,refuted
kernforderung,core demand
letztendlich,ultimately
fertigstellung,completion
verhängt,imposed
zustellorte,delivery location
drittstaaten,third countries
Schienenmaut,Rail toll
Milliardenwert,worth billion
Gepöbel,Mob
mehrwertsteuer,VAT
halbwertszeit,half life
besser benehmen,behave better
schleuserbande,smuggling gang
bearbeitungsgebühr,processing fee
Alleingänge,Solo efforts
Randphänomene,Marginal phenomena
profilierte,profiled?
verbindlich,binding
Schmiergeld,bribe money
Persönlichkeiten,personality
liegt im Clinch,is at odds
umsiedlung,resettlement
Kindersterblichkeit,Child mortality
Fahrt aufgenommen,journey started
Gesinnungsgenossen,like minded people
