German,English
waldbrände,forest fire
Rückendeckung,backing/support
Nachahmungstäter,Copycats
heiss gelaufen,overheated
kramen,rummage
angerechnet,credited
Vorhaben,project
haftanstalt,prison
Aufheben,cancel
bestehend,existing
entlastung,relief
akteneinsicht,access to file
beurteilt,assessed
wettlesen,reading competition
brennstoffe,fuels
bekräftigen,affirm
sorgfältig,carefully
lektor,editor
Schließfächer,locker
Teamgeist,Team spirit
schwitzen,sweat
einzelfall,isolated case
Haushaltsausschuss,budget committee
Werbetafel,billboard
meinungsvielfalt,diversity of opinion
anhaltende,persistent
ausgelotet,explored
atomare abschreckung,nuclear deterrence
Ausweitung,expansion
vorgesehenen,designated
hochrangigen,high ranking
überwunden,overcome
schutzschirm,protective shield
betrag,amount
Auslöser,trigger
Gehbehinderung,disability (related to walking)
konkurrenten beseitigung,elimination of competitors
dotieren,endow
verbliebenen,remaining
reibungslos,smooth
gesetzgeber,legislator
erhältlich,available
staatsverschuldung,national debt
Haftung,liability
belastung,burden
missbilligungsantrag,motion of censure
berufsbezogene,job related
Beschaffungsmethode,procurement method
erdgas,natural gas
abschaffen,abolish
ausbleibende,missing
anfeindungen,hostility
gleichgültigkeit,indifference
brennpunkt,focal point
geklaut,stolen
abschüssigen,sloping
lesevergnügen,reading pleasure
Wettrüsten,arms race
absetzbar,deductible
Hinrichtungen,execution
schleppend,sluggish
referieren,report
oberfläche,surface
Nahverkehr,local public transport
Ansätze,approaches
Gehwege,sidewalks
zaghafter widerstand,timid resistance
fördergelder,funding
verfolgung,persecution
ausweichen,to evade
häftlinge,prisoners
eigenartig,strange
auftakt,opening
ausgeschöpft,exhausted (resources/possibilities)
tiefschlag,low blow
fristgerecht,on time
durchdreht,goes crazy
anspannung,tension
gelegen,located
verfassungswidrig,unconstitutional
haushaltsdefizit,budget deficit
steuerentlastungen,tax relief
predigen,preaching
ansprechen,address
insassen,inmates
im Freien,outdoors
feststellen,notice
baulich,structural (adj.)
ergänzung,addition
gesetzentwurf,draft law
unterdessen,meanwhile
verlesungen,reading
pochen auf,insist on
grundfesten,foundation
