German,English
kurzfristig,short-term
unter Verschluss halten,keep under lock
Aufrüstung,rearmament
ice cube,eiswürfel
langwieriger Prozess,protracted process
quite/pretty,ziemlich
Zustände,conditions
Saldo,balance
Dauerauftrag,standing order
development,entwicklung
Zuversicht,confidence
dishwasher,geschirrspüler
Schwachkopf,moron
sign,anzeichen
rechtsbruchs,breach of law
intolerable,untragbare
Frauenrat,women's council
Rückkehr,return
Auftreten,appearance
Aufrufen,call
Fehlinformationen,misinformation
too juicy,zu saftig
Überrest,remnant
declarations,angaben
autism,autismus
langfristig,long-term
Rechnungsprüfung,invoice audit
Ältestenrat,council of elders
Buchungssatz,journal entry
ungewollt,unintentionally
glaubwürdig,credible
ministry of the interior,innenministeriums
Gottesdienst,worship
territory,hoheitsgebiet
Bedrohungen,threats
Straffreiheit,impunity
überflüssigerweise,superfluously
ausbügeln,to iron out (a mistake)
emphasized,betonte
forschende,researcher
veraltet,obsolete
angemessene,appropriate
Zeitraum,period
clear,deutig
Gerichtsverfahren,court proceeding
loss of sales,umsatzeinbußen
sensory stimuli,sinnesreize
Verschleppten,abducted
erneut,anew
causes,ursachen
Aktiva,assets
Laborthese,laboratory theses
relationships,verhältnisse
hide,verstecken
Überlastung,overload
transition,überleitung
put,stecken
Schwelle,threshold
promptly,zeitnah
enjoy the power of youth,genieße die kraft und sudheit deine jungen
Jahresabschluss,annual financial statement
Kostenstelle,cost center
Zulassung,admission
Anläufe,start
overwhelm,überforderung
survey,umfragen
Passiva,liabilities
at the same time,zugleich
Gläubige,believers
selbstauferlegte,self-imposed
arises,entsteht
brain,gehirns
freezer,gefrierfach
beim Bund,at the federal level
Haushaltsplan,budget plan
supposition,vermutung
Geiseln,captive
Buchhalter,accountant
research effort,forschungsanstrengung
zunehmend,increasingly
vererben,inherited
contact,berührung
Bundeswehr,German Armed Forces
Kundgebungen,rallies
Wiederholter,repeated
effort,bemühungen
protect,schützen
Ursprung,origin
crime,verbrechen
including,darunter
nachhaltig,sustainable
hypersensitive,überempfindlich
