German,English
Vereitelung,prevention/thwarting
die segel streichen,abandon something
andeutung,hint
ratlosigkeit,helplessness
jemanden vor den Kopf stoßen,to offend someone
Abrechnen,settle account
schwachsinn,nonsense
Guten Rutsch!,Happy New Year!
Dampfablassens,letting off the steam
imstande,capable
seit geraumer Zeit,for quite some time
hinter den kulissen,behind the scenes
Einsicht,insight
Wattwanderung,mudflat hiking tour
Bogenschiessen,arrow shooting
Hautnah,up close
verzögerung,delay
bescheinigten,confirm
wohltuende,soothing
hinubergeklettert,climbed over
Wahlkreis,electoral district
angehenden,prospective
zugeben,admit
vernichten,to destroy
zwangsläufig,inevitably
plädieren,to plead
risiken in Kauf nehmen,to take risk
Gedankengang,train of thought
fettlöslich,fat-soluble
sklaven,slave
Fachrichtung,specialization (field of study or medical field)
auf die Schliche kommt,gets to the bottom of it
gewiss,certainly
lichtbildausweis,photo ID
im Gegensatz zu,in contrast to
bescheuert,crazy; stupid
spannungsfeld,field of tension
anschauliche,vivid
Lastkraftwagen (LKW),truck; lorry; heavy goods vehicle
üppig,"lush, luxurious"
reiseandenken,travel souvenir
spenden,donate
hochrechnungen,projections
Weisheitszahn,wisdom tooth
ausgewogen,balanced
einstig,formerly
unwägbarkeiten,imponderable
Pferdezucht,horse breeding
Ehrenamt,volunteer
zerreden,talk about something too much
Heißhungerattacke,food craving; binge
verspannt,tense
Vorgänger,predecessor
verwandschaft,kinship
bei verfechtern,with advocates
bewusstseinswandel,change in consciousness
weiterleiten,forward
Kiefer,jaw; also pine tree (context dependent)
beeinträchtigung,impairment
Ohnmacht,faint (noun); unconsciousness
leichtsinn,reckless
übel,evil; nauseous
schwankt,fluctuates
zugausstattung,train equipment
Schlauberger,smart aleck
überreste,remains (e.g. of a castle)
von der Pike auf,from scratch
verzweifeln,despair
ratsam,advisable
Attest,certificate
Anforderung,requirement
Eintreffen,arrival
neidgesellschaft,envious society
kaufmännische steuerung,commercial management
Stornierung,cancellation
zuneigung,affection
abgesehen davon,apart from that
überfrachtete,overloaded
Mithalten,keep up / compete
Hoch leben,long live
erlegen,killing
äußerst,extremely
annäherung,convergence
bewältigenden,coping
Fernverkehr,long-distance traffic
besticht,impresses; captivates
Missständen,abuses
geistige Kapazitat,mental capacity
schlimmerem,worse
beigeschmack,"aftertaste, undertone"
Anpfiff,kick-off
Datenauswertung,data analysis
stornieren,to cancel
übereinstimmung,consensus
niederließen,settled
umwerfend,stunning
vernichtung,extermination
unaufhaltsam,unstoppable
wachsweich,as soft as wax
überzeichnen,to exaggerate

